x
Motacilla cinerea
Anthus rubescens
Anthus gustavi
Anthus hodgsoni
Anthus cervinus
Anthus spragueii
Cinclus mexicanus
Oreoscoptes montanus
Mimus polyglottos
Mimus gundlachii
Mimus gilvus
Dumetella carolinensis
Toxostoma rufum
Toxostoma longirostre
Toxostoma curvirostre
Toxostoma bendirei
Toxostoma redivivum
Toxostoma lecontei
Margarops fuscatus
Toxostoma crissale
Campylorhynchus brunneicapillus
Salpinctes obsoletus
Catherpes mexicanus
Thryothorus ludovicianus
Thryomanes bewickii
Troglodytes aedon
Cistothorus platensis
Cistothorus palustris
Certhia americana
Pycnonotus jocosus
Pycnonotus cafer
Sitta carolinensis
Sitta canadensis
Sitta pusilla
Sitta pygmaea
Baeolophus bicolor
Baeolophus atricristatus
Baeolophus inornatus
Baeolophus ridgwayi
Baeolophus wollweberi
Cyanistes varius
Poecile cinctus
Chamaea fasciata
Leiothrix lutea
Garrulax canorus
Garrulax pectoralis
Catharus aurantiirostris
Psaltriparus minimus
Auriparus flaviceps
Cettia diphone
Acrocephalus familiaris
Phylloscopus borealis
Locustella ochotensis
Phylloscopus sibilatrix
Phylloscopus fuscatus
Locustella lanceolata
Regulus satrapa
Regulus calendula
Prunella montanella
Polioptila caerulea
Polioptila melanura
Polioptila californica
Polioptila nigriceps
Polioptila californica
Myadestes townsendi
Myadestes obscurus
Myadestes palmeri
Myadestes myadestinus
Myadestes lanaiensis
Hylocichla mustelina
Catharus fuscescens
Catharus minimus
Catharus bicknelli
Catharus ustulatus
Catharus guttatus
Turdus iliacus
Turdus migratorius
Turdus pilaris
Turdus obscurus
Turdus naumanni
Turdus grayi
Turdus rufopalliatus
Turdus plumbeus
Ridgwayia pinicola
Luscinia svecica
Luscinia calliope
Tarsiger cyanurus
Oenanthe oenanthe
Sialia sialis
Sialia mexicana
Sialia currucoides
Copsychus malabaricus
Chasiempis sandwichensis
Chasiempis ibidis
Chasiempis sclateri
Ficedula albicilla
Muscicapa sibirica
Muscicapa griseisticta
Telespiza cantans
Telespiza ultima
Psittirostra psittacea
Loxioides bailleui
Pseudonestor xanthophrys
Chlorodrepanis virens
Chlorodrepanis flava
Chlorodrepanis stejnegeri
Magumma parva
Akialoa ellisianus
Hemignathus lucidus
Hemignathus munroi
Oreomystis bairdi
Loxops mana
Paroreomyza montana
Paroreomyza flammea
Paroreomyza maculata
Loxops coccineus
Loxops caeruleirostris
Drepanis coccinea
Palmeria dolei
Himatione sanguinea
Melamprosops phaeosoma
Euplectes franciscanus
Euplectes afer
Uraeginthus bengalus
Estrilda caerulescens
Estrilda melpoda
Estrilda troglodytes
Estrilda astrild
Amandava amandava
Euodice cantans
Spermestes cucullata
Lonchura punctulata
Lonchura malacca
Lonchura oryzivora
Vidua macroura
Aptenodytes patagonicus
Aptenodytes forsteri
Pygoscelis papua
Pygoscelis adeliae
Pygoscelis antarcticus
Eudyptes pachyrynchus
Eudyptes chrysocome
Eudyptes schlegeli
Eudyptes chrysolophus
Eudyptula minor
Spheniscus demersus
Spheniscus humboldti
Spheniscus magellanicus
Spheniscus mendiculus
Diomedea epomophora
Thalassarche bulleri
Thalassarche chrysostoma
Phoebetria fusca
Phoebetria palpebrata
Macronectes giganteus
Fulmarus glacialoides
Halobaena caerulea
Pachyptila vittata
Pachyptila desolata
Pachyptila belcheri
Pachyptila turtur
Thalassoica antarctica
Procellaria aequinoctialis
Lugensa brevirostris
Pagodroma nivea
Garrodia nereis
Leucocarbo atriceps
Chionis alba
Chionis minor
Larus dominicanus
Sterna vittata
Sterna virgata
Macronectes halli
Stercorarius antarctica
Monarcha takatsukasae
Corvus kubaryi
Aerodramus bartschi
Acrocephalus luscinia
Megapodius laperouse
Aerodramus spodiopygia
Ptilinopus porphyraceus
Todiramphus chloris
Aplonis atrifusca
Aplonis tabuensis
Myzomela cardinalis
Foulehaio carunculatus
Myzomela rubratra
Rhipidura rufifrons
Clytorhynchus vitiensis
Zosterops conspicillatus
Cleptornis marchei
Aplonis opaca
Dicrurus macrocercus
Eudynamys taitensis
Ptilinopus perousii
Ducula pacifica
Gallicolumba stairi
Todiramphus cinnamominus
Todiramphus cinnamominus cinnamominus
Aerodramus bartschi
Zosterops rotensis
Anthracothorax dominicus
Trochilus polytmus
Todus todus
Myiarchus barbirostris
Elaenia flavogaster
Elaenia fallax
Myiopagis cotta
Corvus jamaicensis
Troglodytes aedon musculus
Cinclocerthia ruficauda
Turdus jamaicensis
Turdus aurantius
Myadestes genibarbis
Vireo crassirostris
Vireo modestus
Setophaga pityophila
Setophaga pharetra
Geothlypis rostrata
Euneornis campestris
Euphonia jamaica
Icterus icterus
Icterus leucopteryx
Loxipasser anoxanthus
Loxigilla violacea
Sporophila nigricollis
Volatinia jacarina
Melanitta nigra
Canachites canadensis
Egretta alba
Asturina plagiata
Rallus longirostris
Porphyrio martinica
Gallinula chloropus
Charadrius alexandrinus
Heteroscelus incanus
Catoptrophorus semipalmatus
Aphriza virgata
Tryngites subruficollis
Gallinago gallinago
Steganopus tricolor
Larus philadelphia
Larus ridibundus
Larus atricilla
Larus pipixcan
Sterna aleutica
Sterna antillarum
Sterna nilotica
Sterna caspia
Sterna maxima
Sterna sandvicensis
Sterna elegans
Spilopelia chinensis
Otus flammeolus
Nyctea scandiaca
Caprimulgus carolinensis
Caprimulgus vociferus
